Kingdom	Phylum	Class	Order	Family	Genus	Species	1_11O	2_11P	3_11Q	4_11S	5_11T	6_11U	7_11W	8_11Y	9_11Z	10_12O	11_12P	12_12R	13_12S	14_12T	15_12U	16_12V	17_12W	18_12Y	19_12X	20_12Z	21_9K	22_9L	23_9M	24_9N	25_9O	26_9P	27_9Q	28_9R	29_9S	30_9T	31_9V	32_11O	33_11P	34_11Q	35_11S	36_11T	37_11U	38_11W	39_11Y	40_11Z	41_12O	42_12P	43_12R	44_12S	45_12T	46_12U	47_12V	48_12W	49_12Y	50_12X	51_12Z	52_9K	53_9L	54_9M	55_9N	56_9O	57_9P	58_9Q	59_9R	60_9S	61_9T	62_9V
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae_g_	f__Lachnospiraceae_g_s	608.0	114.0	36.0	171.0	116.0	78.0	181.0	92.0	295.0	367.0	362.0	225.0	197.0	314.0	78.0	138.0	279.0	186.0	253.0	248.0	251.0	273.0	407.0	143.0	75.0	281.0	97.0	144.0	351.0	95.0	260.0	54.0	186.0	65.0	109.0	235.0	32.0	324.0	124.0	74.0	143.0	3.0	141.0	241.0	170.0	218.0	177.0	202.0	112.0	61.0	39.0	215.0	119.0	228.0	94.0	147.0	169.0	82.0	255.0	428.0	203.0	140.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Anaerostipes	g__Anaerostipes_s	6.0	12.0	9.0	43.0	46.0	0.0	59.0	0.0	2.0	7.0	0.0	3.0	15.0	0.0	36.0	40.0	25.0	19.0	89.0	0.0	13.0	94.0	3.0	40.0	24.0	5.0	0.0	49.0	14.0	37.0	2.0	2.0	4.0	1.0	25.0	0.0	0.0	17.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	1.0	0.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	g__Coprococcus_s	25.0	9.0	9.0	17.0	14.0	13.0	8.0	2.0	17.0	26.0	34.0	19.0	44.0	37.0	6.0	6.0	31.0	13.0	16.0	21.0	9.0	24.0	15.0	15.0	4.0	50.0	4.0	15.0	19.0	6.0	17.0	3.0	11.0	11.0	11.0	35.0	1.0	12.0	9.0	11.0	94.0	1.0	96.0	14.0	39.0	215.0	85.0	29.0	14.0	6.0	2.0	48.0	14.0	35.0	17.0	34.0	20.0	21.0	32.0	127.0	64.0	15.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	g__Dorea_s	3.0	0.0	21.0	46.0	38.0	0.0	100.0	1.0	22.0	5.0	13.0	277.0	391.0	33.0	94.0	7.0	82.0	67.0	45.0	77.0	2.0	4.0	39.0	70.0	87.0	191.0	10.0	23.0	13.0	44.0	34.0	14.0	0.0	10.0	8.0	139.0	2.0	69.0	16.0	24.0	17.0	12.0	40.0	36.0	27.0	12.0	20.0	38.0	31.0	10.0	14.0	11.0	3.0	65.0	25.0	24.0	43.0	41.0	10.0	10.0	40.0	65.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	g__Roseburia_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	1.0	2.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus	71.0	31.0	252.0	177.0	114.0	66.0	146.0	80.0	136.0	168.0	111.0	167.0	221.0	158.0	31.0	160.0	188.0	245.0	107.0	173.0	29.0	67.0	117.0	123.0	78.0	256.0	116.0	87.0	126.0	83.0	292.0	20.0	47.0	75.0	54.0	255.0	25.0	120.0	73.0	65.0	84.0	19.0	101.0	117.0	87.0	74.0	65.0	44.0	57.0	51.0	41.0	38.0	29.0	116.0	86.0	102.0	131.0	76.0	81.0	65.0	120.0	90.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__rc4-4	g__rc4-4_s	0.0	0.0	0.0	5.0	6.0	12.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	12.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	7.0	2.0	17.0	0.0	16.0	6.0	0.0	4.0	0.0	0.0	0.0	4.0	6.0	17.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	10.0	19.0	15.0	0.0	11.0	13.0	2.0	5.0	0.0	0.0	34.0	23.0	14.0	10.0	2.0	0.0	7.0	2.0	0.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	f__Peptostreptococcaceae_g_	f__Peptostreptococcaceae_g_s	2.0	33.0	1.0	0.0	0.0	0.0	20.0	1.0	1.0	0.0	97.0	46.0	0.0	66.0	7.0	0.0	0.0	8.0	0.0	11.0	0.0	11.0	30.0	173.0	5.0	13.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	81.0	808.0	501.0	105.0	7.0	39.0	12.0	5.0	44.0	250.0	73.0	347.0	87.0	332.0	222.0	222.0	31.0	0.0	2.0	15.0	206.0	27.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	f__Ruminococcaceae_g_	f__Ruminococcaceae_g_s	28.0	14.0	4.0	16.0	19.0	17.0	8.0	20.0	111.0	161.0	113.0	39.0	24.0	45.0	3.0	14.0	4.0	116.0	13.0	184.0	13.0	20.0	48.0	15.0	0.0	22.0	13.0	5.0	34.0	14.0	74.0	19.0	21.0	7.0	49.0	63.0	0.0	68.0	8.0	15.0	18.0	6.0	17.0	23.0	29.0	23.0	29.0	26.0	10.0	0.0	4.0	32.0	3.0	29.0	11.0	75.0	25.0	5.0	26.0	49.0	21.0	64.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	f__Ruminococcaceae_g_	f__Ruminococcaceae_g_s	59.0	39.0	36.0	28.0	21.0	23.0	48.0	94.0	80.0	159.0	160.0	44.0	111.0	86.0	72.0	22.0	126.0	102.0	71.0	135.0	10.0	62.0	99.0	50.0	16.0	50.0	28.0	64.0	82.0	21.0	74.0	7.0	59.0	30.0	47.0	69.0	1.0	34.0	81.0	37.0	172.0	45.0	96.0	232.0	467.0	142.0	392.0	209.0	510.0	188.0	112.0	281.0	146.0	160.0	65.0	165.0	41.0	56.0	208.0	95.0	124.0	129.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	g__Anaerotruncus_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	4.0	2.0	0.0	0.0	1.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
