	AM-AD-1	AM-AD-2	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-1T	DA-AD-2	DA-AD-3	DA-AD-3T	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9	JP-IN-1	JP-IN-2	JP-IN-3	JP-IN-4
Chromobacterium	0	0	0	0	4.21E-06	3.61E-06	2.23E-05	8.66E-06	1.11E-05	0	0	8.77E-06	0	1.74E-05	0	8.81E-06	0	0	0	8.45E-06	0	0	8.60E-06	0	8.57E-06	0	0	0	1.28E-05	0	0	0	0	0	0	0	0	0	0	0	0
Chromohalobacter	0	0	0	0	4.21E-06	0	0	8.66E-06	5.54E-06	0	0	0	0	8.71E-06	0	0	0	8.32E-06	7.71E-06	0	0	0	0	0.000129748	0	0	0	0	0	1.25E-05	0	1.27E-05	0	0	0	0	1.23E-05	1.25E-05	0	0	0
Chryseobacterium	1.55E-05	0	8.04E-06	1.15E-05	4.21E-05	2.29E-05	8.90E-05	3.03E-05	4.99E-05	2.66E-05	2.68E-05	4.38E-05	6.33E-05	6.53E-05	7.99E-06	1.76E-05	3.45E-05	1.66E-05	1.54E-05	3.38E-05	0	4.44E-05	3.44E-05	2.59E-05	5.14E-05	8.56E-06	1.69E-05	1.72E-05	0.000128259	0	1.26E-05	1.27E-05	8.80E-05	3.79E-05	0	0.000100384	0	0	1.25E-05	0	0
Chthoniobacter	3.10E-05	1.34E-05	8.04E-06	9.19E-06	1.26E-05	3.61E-06	6.68E-05	3.46E-05	1.66E-05	2.66E-05	1.34E-05	1.31E-05	1.69E-05	1.74E-05	2.40E-05	7.93E-05	0	1.66E-05	1.54E-05	1.69E-05	1.71E-05	2.67E-05	8.60E-06	4.32E-05	3.43E-05	1.71E-05	8.46E-06	8.62E-06	0	2.49E-05	0	1.27E-05	0	0	0	1.25E-05	0	0	0	0	0
Citrobacter	0	0	8.04E-06	2.30E-06	0	0	8.90E-06	1.30E-05	3.69E-06	1.33E-05	8.94E-06	4.38E-06	8.45E-06	4.35E-06	7.99E-06	0	8.63E-06	0	7.71E-06	0.000168917	0	8.88E-06	2.58E-05	0.000371943	0.000248477	8.56E-06	1.69E-05	8.62E-06	2.57E-05	0.000985308	0.002953374	0.000726013	0.000942519	0.000290742	0	0	3.70E-05	0.05470034	1.25E-05	0	0.012400161
Citromicrobium	0	4.03E-05	0	0	0	6.02E-06	0	4.33E-06	1.85E-06	0	0	4.38E-06	0	4.35E-06	7.99E-06	0	0	0	7.71E-06	8.45E-06	8.55E-06	0	0	8.65E-06	1.71E-05	0	0	0	0	1.25E-05	0	0	0	0	0	0	0	1.25E-05	0	0	0
Clavibacter	0	0	0	2.30E-06	4.21E-06	0	0	8.66E-06	7.39E-06	4.43E-06	0	0	0	4.35E-06	7.99E-06	8.81E-06	0	1.66E-05	7.71E-06	0	8.55E-06	0	0	0	0	0	0	1.72E-05	0	0	0	0	0	0	0	0	1.23E-05	0	1.25E-05	1.26E-05	0.0001494
Clostridium	0.046951125	0.06554005	0.031313696	0.041438044	0.02035088	0.018880585	0.038490989	0.02272491	0.021479022	0.033412719	0.021017625	0.014866239	0.018296906	0.032082256	0.033323218	0.023823794	0.021465268	0.031050889	0.023914887	0.027694023	0.037962345	0.035348151	0.043229476	0.021356469	0.026578472	0.011550604	0.037046441	0.021924419	0.036784794	0.045361571	0.023802941	0.026009094	0.067647724	0.034572989	0.025199828	0.029914423	0.03752618	0.042292396	0.005259072	0.07124416	0.173372407
Collinsella	0.075640031	0.057070259	0.00016483	0.025211474	0.001317168	0.000398741	0.003868687	0.005353152	0.000953063	0.002890634	0.008175507	0.000850251	0.010075333	0.000374366	0.014086307	0.001436655	0.002486725	0.002162666	0.011263588	0.019476187	0.001530464	0.026722101	0.000378602	0.01290557	0.02025516	0.034241125	0.017765703	0.053251174	0.000102608	0.007608072	0.007992962	0.008393728	0.014451957	0.004626586	0.001193605	0.022071925	0.000911667	7.53E-05	0.000338083	0.00031485	0.000459691
Colwellia	0	0	0	0	0	1.20E-06	4.45E-06	0	1.85E-06	0	0	8.77E-06	0	0	7.99E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	2.55E-05	0	0	0	0	0	1.25E-05	0	1.26E-05	0
Comamonas	0	0	0	2.30E-06	8.42E-06	3.61E-06	8.90E-06	2.60E-05	3.69E-06	1.77E-05	4.47E-06	0	0	4.35E-06	7.99E-06	1.76E-05	8.63E-06	8.32E-06	0	0	0	0	0	0	0	0	0	0	1.28E-05	0	0	0	0.001445196	0	0	1.25E-05	0	5.02E-05	0	0	0
Conexibacter	0	0	0	0	8.42E-06	4.82E-06	4.45E-06	1.73E-05	9.24E-06	4.43E-06	4.47E-06	0	4.22E-06	8.71E-06	0	0	8.63E-06	1.66E-05	7.71E-06	8.45E-06	0	0	8.60E-06	1.73E-05	8.57E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	0
Congregibacter	1.55E-05	0	0	0	0	3.61E-06	4.45E-06	0	1.85E-06	0	0	8.77E-06	4.22E-06	4.35E-06	0	8.81E-06	8.63E-06	0	0	0	0	0	0	0	0	0	0	1.72E-05	0	1.25E-05	0	0	0	0	0	0	0	0	0	0	4.60E-05
Coprobacillus	0.001241272	0.004046678	0.001330701	0.001458439	0.000879515	0.000656538	0.00292934	0.000281517	0.000487614	0.001204062	0.000254786	0.000460187	0.000506723	0.001253689	0.001133932	0.001463096	0.000751198	0.001380779	0.001395421	0.001309111	0.00217172	0.001945525	0.001436967	0.000795786	0.00168793	0.000658812	0.001193408	0.000853191	0.000692601	0.001583976	0.000201081	0.000127371	0.002525951	0.000417151	0.000254815	0.000577208	0.001737095	2.51E-05	8.77E-05	0.00025188	0.000390737
Coprococcus	0.00617533	0.026162244	0.002677484	0.0037506	0.002516507	0.003136926	0.002898177	0.000978813	0.001959691	0.006454126	0.002096399	0.006153361	0.001380819	0.002063364	0.012169802	0.0036313	0.001787333	0.027557352	0.00420939	0.008749926	0.010388345	0.007026989	0.001290689	0.00169537	0.009793421	0.003499405	0.001752025	0.009936657	0.00470712	0.002070393	0.002035943	0.001936034	0.001281826	0.000998635	0.001716646	0.001367732	0.007847727	3.76E-05	5.01E-05	0.001007519	0.000873413
Coprothermobacter	0	0	0	6.89E-06	0	6.02E-06	8.90E-06	4.33E-06	1.11E-05	4.43E-06	4.47E-06	8.77E-06	0	8.71E-06	1.60E-05	0	0	8.32E-06	7.71E-06	0	8.55E-06	0	0	0	0	0	1.69E-05	0	1.28E-05	1.25E-05	0	0	1.26E-05	1.26E-05	0	0	0	0	0	0	0
